Ticker,Company,Country,Exchange,MarketCap,CurrentDate,CurrentPrice,Date_1M,Price_1M,Return_1M,Date_3M,Price_3M,Return_3M,Date_6M,Price_6M,Return_6M,Date_1Y,Price_1Y,Return_1Y,Date_2Y,Price_2Y,Return_2Y,Date_5Y,Price_5Y,Return_5Y,Currency,CurrentPriceUSD,Price_1M_USD,Price_3M_USD,Price_6M_USD,Price_1Y_USD,Price_2Y_USD,Price_5Y_USD,Return_1M_USD,Return_3M_USD,Return_6M_USD,Return_1Y_USD,Return_2Y_USD,Return_5Y_USD
9983.T,FAST RETAILING CO LTD,US,JPX,23903692914688.0,2026-08-05,76870.0,2026-07-03,84500.0,-9.029585798816564,2026-05-01,72890.0,5.46028261764302,2026-02-05,63020.66015625,21.97587237171541,2025-08-05,44699.60546875,71.97019793326965,2024-08-05,35736.0625,115.10483982391736,2021-08-05,23279.04296875,230.21116934742972,JPY,487.4692238168791,523.3850628137589,464.33258975390345,401.6177756857105,304.507749793569,245.46696660964517,212.53770884968617,-6.862220867327284,4.982771955601506,21.376406456260135,60.08434075892741,98.58852315231441,129.3565816885858
6857.T,ADVANTEST CORP,US,JPX,23352037081088.0,2026-08-05,33720.0,2026-07-03,29345.0,14.908843073777469,2026-05-01,27815.0,21.22955239978428,2026-02-05,24217.037109375,39.24081566091409,2025-08-05,10011.2412109375,236.8213719909192,2024-08-05,5265.8994140625,540.3464507877093,2021-08-05,2424.2216796875,1290.9619026403043,JPY,213.8345547951758,181.76017358899117,177.19043742632493,154.33022366714977,68.19971903140095,36.17086677194584,22.13314878262736,17.646539708260555,20.6806405024466,38.556498989051825,213.54169464645554,491.17896218352746,866.1280321895172
000150.KS,DOOSAN,US,KSC,21887943966720.0,2026-08-05,1259000.0,2026-07-03,1431862.75,-12.072578185304428,2026-05-04,1702656.375,-26.056718285273504,2026-02-05,859711.5625,46.444465203991015,2025-08-05,613937.5625,105.06971342057278,2024-08-05,126604.390625,894.4362859651022,2021-08-05,89299.8984375,1309.8560267469509,KRW,881.387249159161,928.4968033214827,1156.9081179422792,588.799164512584,443.72796704512075,93.2855740743953,78.05525493334244,-5.073744356878585,-23.815276642121773,49.692340322660854,98.63234112298731,844.8269551905787,1029.183742865035
6861.T,KEYENCE CORP,US,JPX,21111813177344.0,2026-08-05,87380.0,2026-07-03,80300.0,8.816936488169368,2026-05-01,76460.0,14.281977504577558,2026-02-05,53103.46484375,64.5467019093843,2025-08-05,55885.64453125,56.35500088245213,2024-08-05,52326.609375,66.98960823887703,2021-08-05,60241.7734375,45.04885067943016,JPY,554.1181316133589,497.37065732479095,487.0746304374188,338.41751861807643,380.71056072008105,359.42555440317665,550.0075119340545,11.409493795592152,13.764523337159119,63.73801624575852,45.54840048705042,54.167705892105445,0.7473751885405555
138040.KS,Meritz Financial,US,KSC,20349611671552.0,2026-08-05,120400.0,2026-07-03,112900.0,6.643046944198416,2026-05-04,113400.0,6.172839506172845,2026-02-05,124100.0,-2.981466559226431,2025-08-05,113500.0,6.079295154185016,2024-08-05,73680.984375,63.40715453423256,2021-08-05,24126.794921875,399.0302292114115,KRW,84.28834376391023,73.21043102419935,77.05217711627483,84.99359494890086,82.03297425643541,54.290162385815165,21.08874882617556,15.131604314758285,9.39125527461182,-0.829769802553515,2.749345038282458,55.255280256691485,299.6839473913726
051910.KS,LGCHEM,US,KSC,20194976071680.0,2026-08-05,255500.0,2026-07-03,281500.0,-9.236234458259329,2026-05-04,429000.0,-40.442890442890445,2026-02-05,310006.375,-17.582340040587873,2025-08-05,296095.84375,-13.710372707654727,2024-08-05,269752.25,-5.2834591741125365,2021-08-05,813153.9375,-68.57913511609848,KRW,178.8677062431816,182.53973723039962,291.49368591606617,212.31713350787322,214.00548658838125,198.7608279214037,710.7615910228196,-2.011633764205123,-38.63753663100425,-15.754464424064595,-16.41910256851674,-10.008572557409778,-74.83435957959088
006800.KS,MIRAE ASSET SEC,US,KSC,19984619143168.0,2026-08-05,35200.0,2026-07-03,42750.0,-17.66081871345029,2026-05-04,70300.0,-49.92887624466572,2026-02-05,49025.43359375,-28.20053303008937,2025-08-05,18048.4765625,95.03031116286218,2024-08-05,6417.45263671875,448.5042429233696,2021-08-05,8001.24951171875,339.9312875875893,KRW,24.642439372837543,27.721398815629072,47.766914032399654,33.57653380387933,13.044671482109607,4.728554439196017,6.993732146958678,-11.106796822444764,-48.41107098498574,-26.608149856164033,88.90808715753357,421.1410736560628,252.35034535249756
011200.KS,HMM,US,KSC,19902320607232.0,2026-08-05,21100.0,2026-07-03,19170.0,10.06781429316641,2026-05-04,21150.0,-0.2364066193853431,2026-02-05,19694.03125,7.1390602165313455,2025-08-05,22361.94140625,-5.643255133014957,2024-08-05,15320.2099609375,37.72657198432295,2021-08-05,33064.22265625,-36.18479944511398,KRW,14.771462237695232,12.430858837324195,14.370842557400465,13.488046051357742,16.162260473152628,11.288349275179996,28.900775630922908,18.828975785190917,2.787725762735205,9.515212073347712,-8.605221019471077,30.855822030362322,-48.88904565630329
042700.KS,HANMISemi,US,KSC,19207733379072.0,2026-08-05,209000.0,2026-07-03,232500.0,-10.10752688172043,2026-05-04,378000.0,-44.70899470899471,2026-02-05,192902.3125,8.34499456817035,2025-08-05,87628.4921875,138.50689973393537,2024-08-05,101473.8125,105.96446989709784,2021-08-05,17745.818359375,1077.742247595962,KRW,146.31448377622291,150.76550233061425,256.8405903875828,132.11491549823768,63.334148403061135,74.76867749885787,15.511264853355442,-2.9522791922456437,-43.03295925483255,10.747891882180905,131.01989600471376,95.68954363069741,843.27886964403
196170.KQ,Alteogen,US,KOE,18955966087168.0,2026-08-05,277000.0,2026-07-03,262692.3125,5.446557367376337,2026-05-04,286923.0625,-3.4584401872540305,2026-02-05,289615.375,-4.355906519120401,2025-08-05,341163.25,-18.807198606532204,2024-08-05,200932.84375,37.85700477351652,2021-08-05,52250.22265625,430.1412815450772,KRW,193.91919620102271,170.34382130087397,194.95631949289236,198.3517475723129,246.5782916695316,148.05280912523267,45.67087444799199,13.83987673876832,-0.5319772626849684,-2.2346923712755262,-21.35593328673211,30.979747933720915,324.6014523366516
